"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1934-01-01",,,,,,,,,0.72,,,,
"1934-02-01",,,,,,,,,0.62,,,,
"1934-03-01",,,,,,,,,0.24,,,,
"1934-04-01",,,,,,,,,0.15,,,,
"1934-05-01",,,,,,,,,0.16,,,,
"1934-06-01",,,,,,,,,0.15,,,,
"1934-07-01",,,,,,,,,0.15,,,,
"1934-08-01",,,,,,,,,0.19,,,,
"1934-09-01",,,,,,,,,0.21,,,,
"1934-10-01",,,,,,,,,0.27,,,,
"1934-11-01",,,,,,,,,0.25,,,,
"1934-12-01",,,,,,,,,0.23,,,,
"1935-01-01",,,,,,,,,0.2,,,,
"1935-02-01",,,,,,,,,0.19,,,,
